,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
,,Số test case PASS:,?,,,,,,,,,,,
,,Số testcase FAIL:,?,,,,,,,,,,,
,,,,,,,,,,,,,,
NO.,Test Case ID,Function,Big Item,Medium Item,Small Item,Pre-condition,Step,Step action,Test Data,Expected Result,Actual Result,Status,Notes,Test Priority
1,Aut_DN_TC_01,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập thành công với tài khoản hợp lệ,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
2,,,,,,,2,Nhập email/username hợp lệ,Email: test@example.com hoặc Username: testuser1,,,,,
3,,,,,,,3,Nhập mật khẩu hợp lệ,Password: Pass@123456,,,,,
4,,,,,,,4,Click nút Đăng nhập,Button ID: btn-login,Đăng nhập thành công. Hệ thống chuyển hướng tới trang Dashboard. JWT Token được lưu trong LocalStorage/HTTPOnly Cookie.,,,,
5,Aut_DN_TC_02,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập thất bại khi sai mật khẩu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
6,,,,,,,2,Nhập email hợp lệ,Email: test@example.com,,,,,
7,,,,,,,3,Nhập mật khẩu sai,Password: WrongPass123,,,,,
8,,,,,,,4,Click nút Đăng nhập,Button ID: btn-login,"Hiển thị thông báo lỗi màu đỏ: ""Sai mật khẩu. Vui lòng thử lại."" Form không được submit.",,,,
9,Aut_DN_TC_03,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra đăng nhập với Email chưa tồn tại,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
10,,,,,,,2,Nhập email không tồn tại,Email: nonexistent@example.com,,,,,
11,,,,,,,3,Nhập bất kỳ mật khẩu,Password: Pass@123456,,,,,
12,,,,,,,4,Click nút Đăng nhập,Button ID: btn-login,"Hiển thị thông báo lỗi: ""Email/username không tồn tại trong hệ thống.""",,,,
13,Aut_DN_TC_04,Authentication,Aut_DangNhap,Kiểm tra chức năng đang nhập,Kiểm tra để trống tất cả các trường dữ liệu,User chưa đăng nhập. Trình duyệt có Internet. Tài khoản test khả dụng.,1,Mở trang /login,URL: http://localhost:3000/login,,,,,High
14,,,,,,,2,Để trống trường Email,Email: (rỗng),,,,,
15,,,,,,,3,Để trống trường Password,Password: (rỗng),,,,,
